insert_time,exchange_name,currency_name,price
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17250
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.98
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.99
1.51E+12,GDAX,BTC-USD,17249.52
1.51E+12,GDAX,BTC-USD,17248.67
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.63
1.51E+12,GDAX,BTC-USD,17238.44
1.51E+12,GDAX,BTC-USD,17201.41
1.51E+12,GDAX,BTC-USD,17201.41
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17236.26
1.51E+12,GDAX,BTC-USD,17236.26
1.51E+12,GDAX,BTC-USD,17236.25
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.99
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17199.01
1.51E+12,GDAX,BTC-USD,17199.02
1.51E+12,GDAX,BTC-USD,17199.02
1.51E+12,GDAX,BTC-USD,17199.02
1.51E+12,GDAX,BTC-USD,17199.02
1.51E+12,GDAX,BTC-USD,17199.02
1.51E+12,GDAX,BTC-USD,17201.99
1.51E+12,GDAX,BTC-USD,17211.01
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211.01
1.51E+12,GDAX,BTC-USD,17211.01
1.51E+12,GDAX,BTC-USD,17211.01
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17211.01
1.51E+12,GDAX,BTC-USD,17211
1.51E+12,GDAX,BTC-USD,17240.03
1.51E+12,GDAX,BTC-USD,17213
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
